Rank	Bar	Neighborhood	Address	Cuisine Category	Price	Year
8	A.Bar	Rittenhouse Square	(39.9503916, -75.1704008)	Bar	 $$$	2013
2	American Sardine Bar	South Philadelphia	(39.93659359999999, -75.17374099999999)	Gastropub	 $$	2013
48	Barcade	Fishtown	(39.9674516, -75.13462520000002)	Bar	 $$	2013
23	Bob & Barbaras	South Street	(39.94405, -75.167537)	Bar	 $$	2013
16	Brauhaus Schmitz	South Street	(39.94220079999999, -75.15454439999999)	German	 $$	2013
45	City Tap House	West Philadelphia	(39.954141, -75.20177079999999)	American,Beer	 $$	2013
15	Devils Den	East Passyunk	(39.935811, -75.162064)	Gastropub	 $$	2013
22	Doobies	Graduate Hospital	(39.946437, -75.17846999999999)	Bar	 $$	2013
37	Emmanuelle	Northern Liberties	(39.9664832, -75.13871139999999)	Bar	 $$	2013
34	Fountain Porter	East Passyunk	(39.9294725, -75.16134079999999)	Bar	 $$	2013
13	Frankford Hall	Fishtown	(39.969199, -75.13472)	Beer	 $$	2013
30	Good Dog Bar	Center City West	(39.9487809, -75.16632)	Gastropub	 $$	2013
24	Grace Tavern	Graduate Hospital	(39.9450163, -75.17959979999999)	Gastropub	 $$	2013
46	Grey Lodge	Northeast Philadelphia	(40.027412, -75.061218)	Bar	 $$	2013
5	Hop Sing Laundromat	Chinatown	(39.955516, -75.1569554)	Bar	 $$	2013
43	Jerrys Bar	Northern Liberties	(39.9651094, -75.1389069)	American	 $$	2013
10	Johnny Brendas	Fishtown	(39.9690899, -75.1343255)	Gastropub	 $$	2013
6	Khyber Pass Pub	Old City	(39.948634, -75.144205)	Gastropub	 $$	2013
20	Kraftwork	Northern Liberties	(39.9715167, -75.12735099999999)	Gastropub	 $$	2013
38	Loco Pez	Fishtown	(39.97685329999999, -75.1270637)	Bar,Mexican	 $$	2013
40	McMenamins	Mt. Airy	(40.0597269, -75.1909396)	Bar	 $$	2013
14	Memphis Taproom	Kensington	(39.9803689, -75.1230145)	Gastropub	 $$	2013
41	Monks Cafe	Center City West	(39.947714, -75.1683092)	Belgian	 $$	2013
25	Prohibition Taproom	Poplar	(39.961306, -75.15927900000001)	Gastropub	 $$	2013
1	Pub & Kitchen	Graduate Hospital	(39.9456566, -75.1747555)	Gastropub	 $$	2013
49	Pub on Passyunk East	East Passyunk	(39.9308264, -75.1620015)	Bar	 $$	2013
29	Ranstead Room	Center City West	(39.9522506, -75.1740289)	Bar	 $$$	2013
18	Royal Tavern	Bella Vista	(39.93697, -75.154471)	Gastropub	 $$	2013
44	Sidecar Bar & Grille	Graduate Hospital	(39.9418413, -75.1794896)	Gastropub	 $$	2013
4	South Philadelphia Tap Room	South Philadelphia	(39.927273, -75.171461)	Gastropub	 $$	2013
17	Southwark	Queen Village	(39.940451, -75.149249)	New American	 $$	2013
12	Standard Tap	Northern Liberties	(39.9641556, -75.1404483)	Gastropub	 $$	2013
42	Stateside	East Passyunk	(39.930254, -75.1632549)	American	 $$	2013
3	The Industry	Pennsport	(39.9303951, -75.14955619999999)	Bar	 $$	2013
21	Tria Cafe	Washington Square West	(39.9466238, -75.1609139)	Wine Bar	 $$	2013
47	Varga Bar	Washington Square West	(39.9461989, -75.1577714)	Gastropub	 $$	2013
