Rank	Bar	Neighborhood	Address	Cuisine Category	Price	Year
23	Bob & Barbaras	South Street	(39.94405, -75.167537)	Bar	 $$	2009
22	Doobies	Graduate Hospital	(39.946437, -75.17846999999999)	Bar	 $$	2009
30	Good Dog Bar	Center City West	(39.9487809, -75.16632)	Gastropub	 $$	2009
24	Grace Tavern	Graduate Hospital	(39.9450163, -75.17959979999999)	Gastropub	 $$	2009
46	Grey Lodge	Northeast Philadelphia	(40.027412, -75.061218)	Bar	 $$	2009
10	Johnny Brendas	Fishtown	(39.9690899, -75.1343255)	Gastropub	 $$	2009
6	Khyber Pass Pub	Old City	(39.948634, -75.144205)	Gastropub	 $$	2009
40	McMenamins	Mt. Airy	(40.0597269, -75.1909396)	Bar	 $$	2009
14	Memphis Taproom	Kensington	(39.9803689, -75.1230145)	Gastropub	 $$	2009
41	Monks Cafe	Center City West	(39.947714, -75.1683092)	Belgian	 $$	2009
1	Pub & Kitchen	Graduate Hospital	(39.9456566, -75.1747555)	Gastropub	 $$	2009
49	Pub on Passyunk East	East Passyunk	(39.9308264, -75.1620015)	Bar	 $$	2009
18	Royal Tavern	Bella Vista	(39.93697, -75.154471)	Gastropub	 $$	2009
44	Sidecar Bar & Grille	Graduate Hospital	(39.9418413, -75.1794896)	Gastropub	 $$	2009
17	Southwark	Queen Village	(39.940451, -75.149249)	New American	 $$	2009
12	Standard Tap	Northern Liberties	(39.9641556, -75.1404483)	Gastropub	 $$	2009
21	Tria Cafe	Washington Square West	(39.9466238, -75.1609139)	Wine Bar	 $$	2009
47	Varga Bar	Washington Square West	(39.9461989, -75.1577714)	Gastropub	 $$	2009
