Rank	Bar	Neighborhood	Address	Cuisine Category	Price	Year
41	Monks Cafe	Center City West	(39.947714, -75.1683092)	Belgian	 $$	2011
31	Oscars	Center City East	(39.950249, -75.16681)	Bar	 $$	2011
28	Percy Street Barbecue	South Street	(39.94258490000001, -75.1570964)	Barbecue,Southern	 $$	2011
25	Prohibition Taproom	Poplar	(39.961306, -75.15927900000001)	Gastropub	 $$	2011
1	Pub & Kitchen	Graduate Hospital	(39.9456566, -75.1747555)	Gastropub	 $$	2011
49	Pub on Passyunk East	East Passyunk	(39.9308264, -75.1620015)	Bar	 $$	2011
29	Ranstead Room	Center City West	(39.9522506, -75.1740289)	Bar	 $$$	2011
18	Royal Tavern	Bella Vista	(39.93697, -75.154471)	Gastropub	 $$	2011
44	Sidecar Bar & Grille	Graduate Hospital	(39.9418413, -75.1794896)	Gastropub	 $$	2011
17	Southwark	Queen Village	(39.940451, -75.149249)	New American	 $$	2011
12	Standard Tap	Northern Liberties	(39.9641556, -75.1404483)	Gastropub	 $$	2011
21	Tria Cafe	Washington Square West	(39.9466238, -75.1609139)	Wine Bar	 $$	2011
47	Varga Bar	Washington Square West	(39.9461989, -75.1577714)	Gastropub	 $$	2011
23	Bob & Barbaras	South Street	(39.94405, -75.167537)	Bar	 $$	2010
16	Brauhaus Schmitz	South Street	(39.94220079999999, -75.15454439999999)	German	 $$	2010
45	City Tap House	West Philadelphia	(39.954141, -75.20177079999999)	American,Beer	 $$	2010
15	Devils Den	East Passyunk	(39.935811, -75.162064)	Gastropub	 $$	2010
30	Good Dog Bar	Center City West	(39.9487809, -75.16632)	Gastropub	 $$	2010
24	Grace Tavern	Graduate Hospital	(39.9450163, -75.17959979999999)	Gastropub	 $$	2010
46	Grey Lodge	Northeast Philadelphia	(40.027412, -75.061218)	Bar	 $$	2010
10	Johnny Brendas	Fishtown	(39.9690899, -75.1343255)	Gastropub	 $$	2010
20	Kraftwork	Northern Liberties	(39.9715167, -75.12735099999999)	Gastropub	 $$	2010
14	Memphis Taproom	Kensington	(39.9803689, -75.1230145)	Gastropub	 $$	2010
41	Monks Cafe	Center City West	(39.947714, -75.1683092)	Belgian	 $$	2010
31	Oscars	Center City East	(39.950249, -75.16681)	Bar	 $$	2010
1	Pub & Kitchen	Graduate Hospital	(39.9456566, -75.1747555)	Gastropub	 $$	2010
49	Pub on Passyunk East	East Passyunk	(39.9308264, -75.1620015)	Bar	 $$	2010
29	Ranstead Room	Center City West	(39.9522506, -75.1740289)	Bar	 $$$	2010
18	Royal Tavern	Bella Vista	(39.93697, -75.154471)	Gastropub	 $$	2010
44	Sidecar Bar & Grille	Graduate Hospital	(39.9418413, -75.1794896)	Gastropub	 $$	2010
17	Southwark	Queen Village	(39.940451, -75.149249)	New American	 $$	2010
12	Standard Tap	Northern Liberties	(39.9641556, -75.1404483)	Gastropub	 $$	2010
21	Tria Cafe	Washington Square West	(39.9466238, -75.1609139)	Wine Bar	 $$	2010
47	Varga Bar	Washington Square West	(39.9461989, -75.1577714)	Gastropub	 $$	2010
23	Bob & Barbaras	South Street	(39.94405, -75.167537)	Bar	 $$	2009
22	Doobies	Graduate Hospital	(39.946437, -75.17846999999999)	Bar	 $$	2009
